Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΑΧΕΝ,,2,www.midashotels.gr,floropoulosnikos@yahoo.gr,210-8135184,210-8132794,210-8135184,Νέα Ερυθραία,19 ΧΛΜ ΑΘΗΝΩΝ-ΛΑΜΙΑΣ,145 78,,
ΑΒΑ,"


2 Χλμ
",4,www.avahotel.gr,info@avahotel.gr,210-3259000,,210-3259001,Αθήνα,ΛΥΣΙΚΡΑΤΟΥΣ 9-11,105 58,,
ΑΓΑΜΕΜΝΩΝ,"


15 Χλμ
",2,www.agamemnonhotel.gr,reservations@dolphinhotel.gr,22950-83806,22950-84708,22950-84707,Άγιοι Απόστολοι,ΑΓΑΜΕΜΝΩΝΟΣ 14,190 17,,
ΑΓΓΕΛΙΚΑ,"


0.2 Χλμ
",4,www.angelica.gr,angelhyd@otenet.gr,22980-53202,22980-53264,22980-53542,Ύδρα,ΥΔΡΑ,180 40,,
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΛΥΚΑΒΗΤΤΟΥ,"


0.5 Χλμ
",5,www.sgl.gr,info@sgl.gr,210-7290711/9,,210-7247610,Αθήνα,ΚΛΕΟΜΕΝΟΥΣ 2  &  ΔΕΙΝΟΚΡΑΤΟΥΣ,106 75,,
ΑΓΚΙΣΤΡΙ,"


0.1 Χλμ
",1,,pannek@aig.forthnet.gr,22970-91228,22970-91502,22970-91342,Μεγαλοχώρι-Αγκίστρι,ΑΓΚΙΣΤΡΙ ΑΙΓΙΝΑΣ,180 10,2297-091228,2297-091342
ΑΓΚΥΡΑ,"


2 Χλμ
",2,,,22980-22432,22980-22368,22980-24500,Πόρος,ΝΕΩΡΙΟ,180 20,2298-022368,2298-024500
ΑΔΑΜ,"


3 Χλμ
",2,www.adamshotel.gr,info@adamshotel.gr,210-3225381,,210-3246582,Αθήνα,ΧΑΙΡΕΦΩΝΤΟΣ 6,105 58,,
ΑΔΡΙΑΝΟΣ,"


1 Χλμ
",3,https://hoteladrian.com,douros@otenet.gr,210-3221553,210-3250454,210-3250461,Αθήνα,ΑΔΡΙΑΝΟΥ 74,105 56,,
ΑΔΩΝΙΣ,"


0.5 Χλμ
",1,,apodiakostravel@yahoo.gr,210-4520330,,210-4180915,Πειραιάς,ΦΙΛΩΝΟΣ 70,185 35,,
ΑΔΩΝΙΣ,"


2 Χλμ
",2,www.hotel-adonis.gr,info@hotel-adonis.gr,210-3249737,210-3249738,210-3231602,Αθήνα,ΚΟΔΡΟΥ 3,105 58,,
ΑΖΟΥΡ,,4,,manager@azurhotel.gr,2109673181,,,Βουλιαγμένη,ΔΕΚΕΛΕΙΑΣ ΚΑΙ ΔΑΝΑΗΣ 10,16671,,
ΑΘΕΝΙΑΝ ΡΙΒΙΕΡΑ,"


2 Χλμ
",4,www.arhotel.gr,info@arhotel.gr,210-8900000,,,Βουλιαγμένη,ΑΡΜΟΝΙΑΣ ΚΑΙ ΔΑΝΑΗΣ 7,166 71,210-8900000,210-8900000
ΑΘΕΝΣ ΑΒΕΝΙΟΥ,,4,www.athensavenuehotel.gr,book@athensavenuehotel.gr,2111095600,,2111095699,Καλλιθέα,ΛΕΩΦΟΡΟΣ ΣΥΓΓΡΟΥ 182,176 71,,
ΑΘΕΝΣ ΑΤΡΙΟΥΜ,"


2 Χλμ
",4,www.athensatrium.gr,info@athensatrium.gr,210-9319300/4,,210-9319305,Αθήνα,ΩΚΕΑΝΙΔΩΝ 21,117 45,210-9319300,210-9319305
ΑΘΕΝΣ ΓΟΥΟΖ,,5,https://www.athenswas.gr/,info@epilogiktirion.gr,2107254871,2109249954,,Αθήνα,ΔΙΟΝΥΣΙΟΥ ΑΕΡΟΠΑΓΙΤΟΥ 5,11742,,
ΑΘΕΝΣ ΖΑΦΟΛΙΑ,"


0.5 Χλμ
",4,www.athenszafoliahotel.gr,info@zafoliahotel.gr,2106449002,,2106442042,Αθήνα,ΛΕΩΦ.ΑΛΕΞΑΝΔΡΑΣ 87-89,114 74,,
ΑΘΕΝΣ ΖΟΥΜΕΛ 2,,5,staycocomat.com,info@cocomatjumelle.com,2107230000,,,Αθήνα,ΗΡΟΔΟΤΟΥ 2,10675,,
ΑΘΕΝΣ ΙΡΙΣ,,3,,intersur2016@gmail.com,6937681781,,,Αθήνα,ΔΟΜΟΚΟΥ 2,10440,,
ΑΘΕΝΣ ΚΟΣΤ ΧΟΤΕΛ,"


2 Χλμ
",4,www.athenscoasthotel.gr,info@athenscoasthotel.gr,210-8981154,,210-8981746,Γλυφάδα,ΓΡΗΓΟΡΙΟΥ ΛΑΜΠΡΑΚΗ 25,166 75,,
ΑΘΕΝΣ ΜΑΡΙΟΤ,"


2 Χλμ
",5,www.chandris.gr,info@marriottathens.com,210-9471000,,210-9471010,Παλαιό Φάληρο,Λ.ΣΥΓΓΡΟΥ 385,175 64,,
ΑΘΕΝΣ ΟΝΕ ΧΟΤΕΛ,,4,www.athensonehotel.gr,info@athensonehotel.gr,2119909100,,,Αθήνα,ΒΕΡΑΝΤΖΕΡΟΥ  50,10438,,
ΑΘΕΝΣ ΠΛΑΖΑ – ΝJV,"


2 Χλμ
",5,www.njvathensplaza.gr,info@njvathensplaza.gr,210-3352400,,210-3235856,Αθήνα,ΒΑΣ.ΓΕΩΡΓΙΟΥ Α'2 ΑΘΗΝΑ,105 63,,
ΑΘΕΝΣ ΡΟΥΤΣ,,4,www.accorhotels.com/gb/hotel-B448-ibis-styles-athens-routes/index.shtml,HB448-RE@accor.com,2111042900,2109016221,2111042999,Αθήνα,Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ 109,11636,,
ΑΘΕΝΣ ΣΙΤΥ,"


1 Χλμ
",2,www.athenscityhotel.com,rsv@athenscityhotel.com,210-8629115,210-8620608,210-8620613,Αθήνα,ΠΑΤΗΣΙΩΝ 232,112 56,,
ΑΘΕΝΣ ΣΤΑΡ ΛΑΪΤ ΧΟΤΕΛ,,3,www.athensstarlight.com,info@athensstarlight.com,2103211686,,2103211686,Αθήνα,ΑΓΑΘΩΝΟΣ 9,10552,,
ΑΘΕΝΣ ΤΙΑΡ,"


0.5 Χλμ
",4,www.athenstiarehotel.com,info@athenstiarehotel.com,210-5200300,,210-5200981,Αθήνα,ΠΕΙΡΑΙΩΣ 2,104 31,,
ΑΘΕΝΣ ΧΑΜΠ ΧΟΣΤΕΛ,,0,,k.chrysosp@gmail.com,6934274562,,,Αθήνα,ΑΓΙΑΣ ΕΛΕΟΥΣΗΣ 7,10554,,
ΑΘΕΝΣ ΧΑΟΥΖ,"


0.5 Χλμ
",2,,atom.neokleous@gmail.com,210-3245960,,,Αθήνα,ΑΡΙΣΤΟΤΕΛΟΥΣ 4,104 32,,
ΑΘΕΝΣ ΧΟΟΥΚΣ,"


0.5 Χλμ
",2,,hawkshostel@gmail.com,210-5239712,210-5241209,210-5239713,Αθήνα,ΜΕΝΑΝΔΡΟΥ 25,105 53,,
ΑΘΕΝΣΤΑΪΛ,,0,www.athenstyle.com,info@athensstyle.com,2103225010,,2103225010,Αθήνα,ΘΕΚΛΑΣ  10,10554,,
ΑΘΗΝΑ,"


10 Χλμ
",3,www.athena-hotel.gr,info@athena-hotel.gr,27360-31942,27360-31952,27360-31952,Μυλοπόταμος,ΜΥΛΟΠΟΤΑΜΟΣ ΚΥΘΗΡΩΝ,801 00,,
