Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Εναλλακτικό Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας
ΑΓΓΕΛΙΚΗ,"


22 Χλμ
",2,www.hotel-angeliki.de,hotel_angeliki@hotmail.com,22730-95335,22730-39443,2273-039443,22730-95398,2273-095398,Ηραίο,ΗΡΑΙΟΝ ΣΑΜΟΥ,831 03
ΑΓΓΕΛΙΚΗ-ΧΡΙΣΤΙΝΑ,"


8 Χλμ
",2,,eprentas77@yahoo.ca,22730-92351,22730-92840,,22730-92589,,Κοκκάρι,ΚΟΚΚΑΡΙ ΣΑΜΟΥ,831 00
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ,,2,,gplast55@otenet.gr,2273062043,2273061774,2273080845,,,Πυθαγόρειο,,831 00
ΑΓΙΑ ΜΑΡΚΕΛΛΑ,"


3 Χλμ
",3,www.hotelagiamarkella.gr,markellatom@yahoo.gr,22710-93763,22710-93764,6937-448813,22710-93765,2271-093765,Βροντάδος,ΒΡΟΝΤΑΔΟΣ ΧΙΟΥ,822 00
ΑΓΙΑ ΣΙΩΝ,,2,,filsylagiasoton@hotmail.gr,22520-22242,,,22520-22242,,Αγιάσος,ΑΓΙΑΣΟΣ ΛΕΣΒΟΥ,811 01
ΑΓΙΑΖΙ,"


8.5 Χλμ
",3,www.agiazi.gr,agiazi.hotel@gmail.com,22710-32553,,6972710687,22710-32553,22710-32553,Χίος,Λ.ΚΑΛΒΟΚΟΡΕΣΗ 91,821 00
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,"


10 Χλμ
",2,www.hotelagios.gr,info@hotelagios.gr,22730-94000,22730-94001,2273-094000/1,22730-94002,,Άγιος Κωνσταντίνος,ΑΓ.ΚΩΝ/ΝΟΣ ΣΑΜΟΥ,832 00
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ ΣΑΜΟΥ,"


10 Χλμ
",3,www.saintnicholas.gr,info@saintnicholas.gr,22730-25230,22730-25232,,22730-28522,,Ψιλή Άμμος,ΑΛΥΚΕΣ-ΜΥΚΑΛΗΣ ΒΑΘΕΩΣ ΣΑΜΟΥ,831 00
ΑΓΝΑΝΤΙ,"


1 Χλμ
",2,www.agnantihotel.gr,,22730-94087,22730-94088,,22730-94088,,Βουρλιώτες,ΚΑΜΠΟΣ ΒΟΥΡΛΙΩΤΩΝ,832 00
ΑΓΝΗ,"


16 Χλμ
",2,www.lesvosisland.gr,nirvanat@otenet.gr,22530-41740,22530-41991,6944-536881,22530-41740,2253-041992,Πέτρα,ΠΕΤΡΑ ΛΕΣΒΟΥ,811 03
