Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Αριθμός Φαξ,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,,1,www.hotelgeorge-rio.com,info@hotel-george.gr,2610-225092,2610991134,Πάτρα,ΑΓΙΟΥ ΑΝΔΡΕΟΥ 73,262 21,,,
ΑΓΝΗ,"


3.5 Χλμ
",2,www.hotel-agni.com,tsiortos@hotmail.com,26340-22448,6974594313,Ναύπακτος,ΔΗΜΟΚΡΑΤΙΑΣ 13,303 00,26340-25904,,
ΑΓΡΙΝΙΟ ΙΜΠΕΡΙΑΛ ΧΟΤΕΛ,"


0.5 Χλμ
",4,www.agrinioimperial.gr,info@agrinioimperial.gr,26410-30034,26410-30044,Αγρίνιο,ΕΘΝ.ΟΔ.ΑΓΡΙΝΙΟΥ -ΑΜΦΙΛΟΧ.,301 00,26410-30009,,
ΑΓΡΙΝΙΟ ΠΡΕΜΙΕ ΧΕΡΤ ΧΟΤΕΛ,"


1 Χλμ
",3,www.alexanderhotel.gr,spirosfloros@hotmail.com,26410-58661,26410-44590,Αγρίνιο,ΚΑΛΛΕΡΓΗ & ΓΛΥΝΟΥ 10,301 00,26410-58662,,
ΑΔΩΝΙΣ ΣΙΤΥ,"


1.5 Χλμ
",2,www.adoniscityhotel.gr,hoteladonis@otenet.gr,2610-224213,2610-224235,Πάτρα,ΖΑΙΜΗ & ΚΑΨΑΛΗ 9,262 23,2610-226971,,
ΑΘΗΝΑ,"


1 Χλμ
",3,www.athinahotelolympia.com,athinahotel@yahoo.gr,26250-23150,6978260618,Κρέστενα,ΚΡΕΣΤΕΝΑ ΗΛΕΙΑΣ,270 55,26250-22965,,
ΑΙΘΡΙΟ,"


3 Χλμ
",2,www.aithriohotel.com,aithriohotel@gmail.com,26930-24880,,Νιφοραίικα,,252 00,26930-24980,,
ΑΙΤΩΛΙΑ,,1,,,26440-22394,,Θέρμο,ΧΑΡΙΛΑΟΥ ΤΡΙΚΟΥΠΗ 35,300 08,,,
ΑΚΡΟΓΙΑΛΙ,"


0.5 Χλμ
",1,,nikoshotelakrogiali@gmail.com,26460-81206,,Μύτικας,ΜΥΤΙΚΑΣ ΑΙΤΩΛ/ΝΙΑΣ,300 19,,,
ΑΚΡΟΠΟΛ,"


2 Χλμ
",2,,info@acropole.gr,2610-279809,2610-279811,Πάτρα,ΑΙΟΥ ΑΝΔΡΕΟΥ 32,262 21,2610-221533,,
ΑΚΤΗ,"


1 Χλμ
",2,www.akti.gr,akti@otenet.gr,26340-28464,26340-28465,Ναύπακτος,ΝΑΥΠΑΚΤΟΣ (ΓΡΙΜΠΟΒΟ),303 00,26340-24171,,
ΑΚΤΗ ΚΑΛΟΓΡΙΑ,"


26 Χλμ
",3,www.kalogriahotel.gr,info@kalogriahotel.gr,26930-31380,26930-31344,Καλόγρια,ΚΑΛΟΓΡΙΑ ΑΧΑΙΑΣ,270 52,26930-31732,,
ΑΚΤΗ ΚΑΛΟΓΡΙΑ ΙΙ,"


26 Χλμ
",2,www.kalogriahotel.gr,info@kalogriahotel.gr,26930-31276,26930-31380,Καλόγρια,ΚΑΛΟΓΡΙΑ ΑΧΑΙΑΣ,270 52,26930-31381,,
ΑΚΤΗ ΚΑΣΤΡΟ,,3,www.castrobeachotel.com,info@castrobeachotel.com,26230-95911,26230-95910,Κάστρο,,270 50,26230-95912,,
ΑΚΤΗ ΚΟΥΡΟΥΤΑ,"


5 Χλμ
",2,www.kouroutahotel.gr,kouroutahotel@gmail.com,26220-24024,6979200200,Κουρούτα,ΚΟΥΡΟΥΤΑ ΑΜΑΛΙΑΔΑΣ,272 00,26220-24024,26220-24024,26220-24024
ΑΚΤΗ ΛΕΠΑΝΤΟ,"


1 Χλμ
",3,www.lepantobeach.gr,info@lepantobeach.gr,26340-23931,26340-23932,Ναύπακτος,ΓΡΙΜΠΟΒΟ,303 00,26340-23930,,
ΑΚΤΗ ΠΟΣΕΙΔΩΝΟΣ,"


6 Χλμ
",3,,,26910-81400,,Νικολαίικα,ΝΙΚΟΛΑΙΪΚΑ ΠΑΤΡΩΝ,251 00,,,
ΑΚΤΗ ΧΡΙΣΤΙΝΑ,"


26 Χλμ
",3,www.kalogriahotel.gr,info@kalogriahotel.gr,26930-31469,26930-31470,Καλόγρια,ΚΑΛΟΓΡΙΑ ΑΧΑΙΑΣ,270 52,26930-31732,,
ΑΛΕΞΑΝΔΡΑ,,1,,ithoriagk@yahoo.gr,26320-22248,26320-023019,Αιτωλικό,ΑΣΤΙΓΓΟΣ  12,304 00,,,
ΑΛΘΑΙΑ,,3,www.hotelalthaia.gr,althaia@otenet.gr,26440-23133,,Πετροχώρι,,300 08,,,
ΑΛΘΑΙΑ ΔΙΑΜΕΡΙΣΜΑΤΑ ΚΑΤΑΚΟΛΟ,,3,www.altheapartments.gr,afes.hotel@gmail.com,2621041818,,Κατάκολο,,27067,2621041828,,
ΑΛΚΗΣΤΙΣ,"


0.1 Χλμ
",3,www.alkistis-hotel.gr,info@alkistis-hotel.gr,26910-43650,26910-43651,Διακοπτό,ΒΑΛΤΟ ΔΙΑΚΟΦΤΟΥ ΑΧΑΙΑΣ,262 22,26910-43652,6947203079,
ΑΛΚΥΩΝΙΣ,"


0.6 Χλμ
",2,www.hotelalkionis.gr,info@hotelalkionis.gr,26250-34582,,Ζαχάρω,,270 54,26250-34583,,
ΑΛΜΥΡΑ,"


1 Χλμ
",3,www.almira-hotel.gr,info@almira-hotel.gr,26230-96800,6946822673,Αρκούδι,,270 50,26230-96803,6946822673,2623096803
ΑΜΑΛΙΑ,"


1 Χλμ
",4,https://amaliahotelolympia.gr/,amalia@amaliahotels.com,26240-22190,26240-22191,Αρχαία Ολυμπία,ΟΛΥΜΠΙΑ(ΑΡΧΑΙΑ),270 65,26240-22444,,
ΑΜΑΛΙΑ,"


9 Χλμ
",2,,amaliahotel@hotmail.gr,26930-31762,,Καλόγρια,,270 52,,,
ΑΜΑΛΙΑΣ,"


3 Χλμ
",3,www.amaliashotel.gr,info@amaliashotel.gr,26220-24151,26220-38014,Κουρούτα,ΛΕΙΒΑΔΑΚΙΑ-ΚΟΥΡΟΥΤΑΣ-ΑΜΑΛΙΑΔΑΣ,272 00,26220-24277,,
ΑΜΑΡΥΛΛΙΣ,"


2 Χλμ
",3,www.amaryllishotel.gr,info@amaryllishotel.gr,26340-25525,6945333630,Ναύπακτος,ΠΛ.ΛΙΜΕΝΟΣ 3,303 00,,,
ΑΜΒΡΑΚΙΑ,"


1 Χλμ
",2,www.amvrakiahotel.gr,info@amvrakiahotel.gr,26420-22845,26420-22213,Αμφιλοχία,ΑΝΔΡΕΑ ΣΤΡΑΤΟΥ 60,305 00,26420-23270,,
ΑΝΑΓΕΝΝΗΣΙΣ,"


1 Χλμ
",4,www.hotelanagennisis.gr,info@hotelanagennisis.gr,2621020780,,Πύργος,ΠΑΤΡΟΚΛΟΥ 16,271 00,26210-20789,2621020780,2621020789
ΑΝΕΜΩΝΗ,"


7 Χλμ
",1,www.kaiafas.com,info@kaiafas.com,26250-32252,,Καϊάφας,ΞΗΡΟΧΩΡΙ,270 54,26250-32252,,
ΑΝΕΡΑΔΑ,"


2 Χλμ
",2,www.anerada.gr,anerada@otenet.gr,26920-24777,,Καλάβρυτα,ΠΑΛΗΟΠΗΓΑΔΟ,250 01,26920-24512,261-0341063,261-0341063
ΑΝΕΣΙΣ,"


0.5 Χλμ
",3,www.anesishotel.gr,anesis@anesishotel.gr,26920-23070,26920-24420,Καλάβρυτα,ΚΑΛΑΒΡΥΤΑ,250 01,26920-24621,,
ΑΝΤΙΡΡΙΟ,"


11 Χλμ
",2,www.hotelantirrio.com,gkatsoudas@hotmail.com,26340-31450,,Αντίρριο,ΑΝΤΙΡΡΙΟ ΑΙΤΩΛ/ΝΙΑΣ,300 20,26340-31637,,
ΑΝΤΩΝΙΟΣ,"


0.2 Χλμ
",4,www.olympiahotels.gr,info@olympiahotels.gr,26240-22348,26240-22349,Αρχαία Ολυμπία,ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΦΛΟΚΑ,270 65,26240-22112,2624-022547,2624-022112
