Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΓΙΟΣ ΓΕΡΜΑΝΟΣ,"


7 Χλμ
",4,www.prespa.com.gr,info@prespa.com.gr,23850-51397,23810-88105,Άγιος Γερμανός,ΑΓ.ΓΕΡΜΑΝΟΣ-ΠΡΕΣΠΕΣ ΦΛΩΡΙΝΑΣ,530 77,,,
ΑΓΝΑΝΤΙ,"


1 Χλμ
",2,www.agnanti-hotel.gr,agnantivelvento@gmail.com,24640-49002,24640-49018,Βελβεντός,ΒΕΛΒΕΝΤΟ ΚΟΖΑΝΗΣ,504 00,,,
ΑΓΝΑΝΤΙ,,3,https://hotelagnanti.wordpress.com,stasinopoulos1995@gmail.com,24760-26484,,Κεφαλάρι,,521 00,,,
ΑΙΓΛΗ,"


0.9 Χλμ
",1,www.aiglihotel.eu,aigli.grevena@yahoo.gr,24620-87120,24620-87120,Γρεβενά,ΠΛ.ΑΙΜΙΛΙΑΝΟΥ 29,511 00,,,
ΑΙΟΛΙΣ,"


2 Χλμ
",4,,,24670-21070,,Καστοριά,ΑΓ.ΑΘΑΝΑΣΙΟΥ 30,521 00,24670-21080,,
ΑΛΙΑΚΜΩΝ,"


0.5 Χλμ
",3,www.aliakmonhotel.gr,info@aliakmonhotel.gr,24610-36015,24610-33503,Κοζάνη,ΕΛ.ΒΕΝΙΖΕΛΟΥ 38,501 00,24610-36016,,
ΑΛΛΑΧΟΥ,"


2 Χλμ
",4,www.allahou.gr,info@allahou.gr,2467028585,24670-27925,Καστοριά,ΠΑΝ.ΦΑΝΕΡΩΜΕΝΗ 18,521 00,2467028585,2467028585,2467027925
ΑΛΩΝΙ ΤΟΥ ΗΛΙΟΥ,"


20 Χλμ
",3,www.alonitouiliou.gr,info@alonitouiliou.gr,24620-83837,24620-83837,Ζάκας,ΘΕΣΗ ΑΡΒΑΝΙΤΕΣ,511 00,,,
ΑΜΑΔΡΥΑΔΕΣ,,2,,amadriades@gmail.com,24620-25034,,Αλατόπετρα,,510 32,,,
ΑΜΑΔΡΥΑΣ ΘΗΣΑΥΡΟΣ,,3,www.amadrias-hotel.gr,amadriashotel@googlemail.com,24620-32751,24620-32751,Δεσκάτη,,512 00,,,
ΑΝΑΣΤΑΣΙΟΥ,"


5 Χλμ
",2,www.anastassiou-hotels.gr,anastasiouhotels@gmail.com,24670-86885,24670-86256,Καστοριά,ΠΕΤΡΑ ΚΑΣΤΟΡΙΑΣ,521 00,24670-86886,,
ΑΝΔΡΟΜΕΔΑ,"


3 Χλμ
",4,www.andromedahotel.gr,info@andromedahotel.gr,24670-22220,24670-24229,Καστοριά,ΜΗΤΡΟΠΟΛΕΩΣ 33,521 00,,,
ΑΝΕΣΙΣ,"


1.2 Χλμ
",2,www.anesis-hotel.gr,info@anesis-hotel.gr,24610-22504,24610-22509,Κοζάνη,ΠΛΑΤ.ΛΑΣΣΑΝΗ 14,501 00,24610-22505,,
ΑΝΕΣΙΣ,"


3 Χλμ
",2,www.anesishotelkastoria.gr,anesis.kas@gmail.com,2467083908,2467083768,Καστοριά,ΓΡΑΜΜΟΥ 10,521 00,2467083909,,
ΑΡΙΑΔΝΗ,,2,www.ariadni-prespes.gr,guesthouseariadni@gmail.com,23850-51850,,Λαιμός,ΛΑΙΜΟΣ ΠΡΕΣΠΩΝ,530 77,,,
ΑΡΚΤΟΣ,,2,,mitsiaio@yahoo.gr,24620-82618,,Πολυνέρι,,510 32,,,
ΑΡΧΟΝΤΑΡΙΚΙ,"


25 Χλμ
",2,www.archodariki.gr,fanikara10@gmail.com,24620-85660,,Πολυνέρι,ΠΟΛΥΝΕΡΙ ΓΡΕΒΕΝΩΝ,510 32,69720-06245,,
ΑΡΧΟΝΤΙΚΟ ΑΛΕΞΙΟΥ ΒΕΡΓΟΥΛΑ,"


1 Χλμ
",4,,sfinas@otenet.gr,24670-23415,24670-23676,Καστοριά,ΑΙΔΗΤΡΑΣ 14,521 00,,,
ΑΡΧΟΝΤΙΚΟ ΤΗΣ ΒΕΝΕΤΟΥΛΑΣ,"


1 Χλμ
",3,www.venetula.gr,info@venetula.gr,2467022446,2467022466,Καστοριά,ΑΓΙΩΝ ΘΕΟΛΟΓΩΝ 6,521 00,,,
ΑΡΧΟΝΤΙΚΟ ΩΡΟΛΟΓΟΠΟΥΛΟΥ,,5,www.orologopoulos.gr,mansion@orologopoulos.gr,2467021605,2467021606,Καστοριά,ΠΗΧΕΙΩΝ 1  &  ΤΣΕΡΛΕΜΕ,521 00,2467021604,,
ΑΡΧΟΝΤΙΚΟΝ,"


0.05 Χλμ
",2,,hotelarchontiko@gmail.com,24650-21298,24650-22835,Σιάτιστα,ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ 1,503 00,24650-22780,,
ΑΤΕΡΟΝ,"


0.5 Χλμ
",3,www.ateron.gr,ateron2000@gmail.com,23860-20000,23860-20000,Αμύνταιο,1ΧΛΜ ΑΜΥΝΤΑΙΟ-ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝΑ,532 00,,,
ΑΦΚΟΣ ΓΡΑΜΜΟΣ,,4,www.afkosgrammoshotel.gr,info@afkosgrammoshotel.gr,24670-82116,24670-82116,Νεστόριο,ΑΓ.ΜΗΝΑΣ,520 51,,,
ΑΧΙΛΛΕΙΟΝ,"


2 Χλμ
",3,www.hotelachillion.gr,info@hotelachillion.gr,24620-85600,,Γρεβενά,ΕΠΤΑ ΛΑΚΚΟΙ ΓΡΕΒΕΝΩΝ,511 00,24620856001,,
ΑΨΗΣ,"


13 Χλμ
",3,www.apsishotel.gr,info@apsishotel.gr,24630-62201,24630-62202,Εμπόριο,ΕΜΠΟΡΙΟ ΚΟΖΑΝΗΣ,500 05,,6973-057152,
ΒΑΛΙΑ ΚΑΛΝΤΑ,"


20 Χλμ
",2,www.valiacalda.com,info@valiacalda.com,24620-82020,24620-82021,Περιβόλι,,510 32,24620-82150,231-0939615,
ΒΑΛΙΑ ΝΟΣΤΡΑ,"


35 Χλμ
",3,www.valianostra.gr,info@valianostra.gr,24620-80151,2310-256295,Σμίξη,,510 32,,john@levedis.gr,
ΒΑΡΝΟΥΣ,"


7 Χλμ
",2,,varnous@gmail.com,23850-51880,23850-51881,Άγιος Γερμανός,,530 77,,,
ΒΑΡΩΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,"


25 Χλμ
",3,www.don-constantino.gr,info@don-constantino.gr,24620-83060,24620-83066,Πολυνέρι,26 ΧΛΜ. ΓΡΕΒΕΝΩΝ - ΒΑΣΙΛΙΤΣΑΣ,511 00,69470-80950,6980122258,
ΒΑΣΙΛΙΤΣΑ ΡΙΖΟΡΤ,"


32 Χλμ
",3,www.e-vasilitsa.gr,info@e-vasilitsa.gr,24620-83555,24620-83533,Πολυνέρι,ΠΟΛΥΝΕΡΙ ΓΡΕΒΕΝΩΝ,510 32,24620-83530,6945-393866,
ΒΕΛΤΣΗ,"


5 Χλμ
",3,www.hotel-veltsi.gr,info@hotel-veltsi.gr,23850-46555,23850-46533,Φλώρινα,6 ΧΛΜ ΦΛΩΡΙΝΑΣ-ΒΙΓΛΑΣ ΠΙΣ,531 00,,2385-025166,2385-025166
ΒΙΛΑ ΚΑΣΤΑΝΟΔΑΣΟΣ,,2,www.kastanodasos.gr,,24630-62275,,Εμπόριο,,500 05,,,
ΒΙΛΛΑ ΟΥΣΣΙ,,3,,,000-0000000,,Αμύνταιο,,532 00,,,
ΒΡΑΧΟΣ,,2,,,23860-61282,,Άγιος Παντελεήμονας,,532 00,,,
ΒΥΖΑΝΤΙΟΥΜ,"


4 Χλμ
",3,www.hotelbyzantium.gr,hotel-b@otenet.gr,24670-21313,24670-21315,Χλόη,ΦΟΥΝΤΟΥΚΛΙ,521 00,2467021314,,
ΓΑΛΑΝΟΥ,"


0.5 Χλμ
",3,,,24630-92590,,Βλάστη,,500 09,,,
ΓΑΛΑΞΙΑΣ,"


3 Χλμ
",2,www.kastoriagalaxyhotel.gr,info@kastoriagalaxyhotel.gr,24670-85510,24670-85769,Μαυροχώρι,ΔΙΑΣΤΑΥΡΩΣΗ ΜΑΥΡΟΧΩΡΙΟΥ,521 00,24670-85508,,
ΓΑΛΗΝΗ,"


0.5 Χλμ
",1,www.savvidou.gr,info@savvidou.gr,24680-22329,24680-23616,Νεάπολη,25ΗΣ ΜΑΡΤΙΟΥ 5,500 01,24680-23616,2468-022329,
ΓΙΑΝΝΟΣ,,3,,,24630-92492,,Βλάστη,,500 09,,,
