Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΑΡ,,4,www.aarhotel.gr,info@aarhotel.gr,2651096100,2651096101,Δωδώνη,14χλμ ΕΘΝΙΚΗΣ ΟΔΟΥ ΙΩΑΝΝΙΝΩΝ-ΑΘΗΝΩΝ,455 00,,,
ΑΓΑΠΗ,,1,www.agapihotel.gr,jboukas@otenet.gr,26510-27139,26510-65696,Ιωάννινα,ΤΣΙΡΙΓΩΤΗ 6,454 44,,,
ΑΓΓΕΛΩΝ ΚΑΤΑΦΥΓΙΟ,,3,www.aggelonkatafygio.gr,info@aggelonkatafygio.gr,6947305668,26530-22223,Ασπράγγελοι,,440 07,2653025955,,
ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,,3,,info@hotelagiaparaskevi.com,26650-91520,,Πέρδικα,,460 30,,,
ΑΓΙΟΚΛΗΜΑ,,4,,,26510-79193,,Ιωάννινα,ΤΟΣΙΤΣΑ 33,455 55,,,
ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,"


12 Χλμ
",2,,,26840-41402,26840-41402,Αμμουδιά,,480 62,,6945-771999,
ΑΓΙΟΣ ΘΩΜΑΣ,,3,,,26820-56295,,Λυγιά,ΛΥΓΙΑ ΠΡΕΒΕΖΗΣ,481 00,26820-56327,,
ΑΓΙΟΣ ΝΕΚΤΑΡΙΟΣ,"


0.2 Χλμ
",2,www.nect.gr,info@nect.gr,26840-31150,26840-32150,Πάργα,ΑΓ.ΜΑΡΙΝΑΣ 2,480 60,,,
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,"


1.5 Χλμ
",5,www.agiosnikolaos-hotel.com,a.koliadis@domotel.gr,26650-93017,26650-93180,Σύβοτα,ΣΥΒΟΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,,2665-023954,26650-28622
ΑΓΝΑΝΤΙ,"


0.5 Χλμ
",3,www.agnantizitsas.gr,agnantizitsas@gmail.com,26580-22090,26580-22090,Ζίτσα,ΖΙΤΣΑ ΙΩΑΝΝΙΝΩΝ,440 03,6945451050,,
ΑΓΝΑΝΤΙΟ,"


8 Χλμ
",3,www.agnantio.gr,agnantio@yahoo.gr,26510-81191,26510-81264,Λιγκιάδες,ΛΙΓΚΙΑΔΕΣ ΙΩΑΝΝΙΝΩΝ,455 00,,6943-295061,
ΑΓΡΙΟΛΟΥΛΟΥΔΟ ΓΡΑΜΜΟΥ,,3,,bakatsoulas@gmail.com,2655-031550,,Πληκάτι,ΠΛΗΚΑΤΙ ΚΟΝΙΤΣΑΣ,455 00,,,
ΑΔΡΑΣΤΕΙΑ,"


53 Χλμ
",4,www.adrasteia.gr,info@adrasteia.gr,26530-71684,,Νεγάδες,ΝΕΓΑΔΕΣ ΙΩΑΝΝΙΝΩΝ,440 18,,6936722770,
ΑΔΩΝΙΣ,"


1 Χλμ
",2,www.adonismetsovohotel.gr,info@adonismetsovo.gr,26560-42300,26560-42298,Μέτσοβο,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝ,442 00,26560-42710,,
ΑΔΩΝΙΣ,"


5 Χλμ
",3,www.adonishotel.gr,info@adonishotel.gr,26820-41314,26820-41356,Μύτικας,ΜΥΤΙΚΑΣ ΠΡΕΒΕΖΑΣ,481 00,,,
ΑΖΑΛΕΝΑ,"


20 Χλμ
",3,www.azalena.gr,info@azalena.gr,26820-56510,26820-56091,Παραλία,ΠΑΡΑΛΙΑ ΒΡΑΧΟΥ ΠΡΕΒΕΖΗΣ,481 00,,,
ΑΘΑΜΑΣ,"


5 Χλμ
",2,,tr.athamas@gmail.com,26850-24122,26850-24588,Αθαμάνιο,ΑΘΑΜΑΝΙΟ ΑΡΤΑΣ,470 45,,,
ΑΘΗΝΑ,"


14 Χλμ
",2,,,26840-41172,26840-41172,Αμμουδιά,ΑΜΜΟΥΔΙΑ ΦΑΝΑΡΙΟΥ ΠΡΕΒΕΖΑΣ,480 62,,21-02583768,
ΑΘΗΝΑ,"


22 Χλμ
",4,www.zagoriathina.gr,info@zagoriathina.gr,26530-71540,26530-71540,Ελάτη,ΕΛΑΤΗ ΙΩΑΝΝΙΝΩΝ,440 07,,6947812488,
ΑΙΘΕΡΕΣ ΤΖΟΥΜΕΡΚΩΝ,"


10 Χλμ
",3,www.etherestzoumerkon.gr,info@etherestzoumerkon.gr,26850-51518,,Καταρράκτης,ΚΑΤΑΡΑΚΤΗΣ ΑΡΤΑΣ,470 43,,,
ΑΙΘΡΙΟ,"


35 Χλμ
",4,www.aithrio.eu,aithrioguesthouse@gmail.com,2653025902,2653-025902,Δίλοφο,ΔΙΛΟΦΟ ΖΑΓΟΡΙΟΥ,440 07,6945853400,,
ΑΚΟΥΑ ΟΛΙΒΑ ΡΕΖΟΡΤ,,4,https://acrosshotels.gr/aquaolivaresort/,aquaolivaresort@across.gr,2665097030,2310476132,Πέρδικα,,461 00,2310476131,2310476131,2310476132
ΑΚΡΟΛΙΜΝΙΟΝ,"


1 Χλμ
",2,www.akrolimnion.gr,info@akrolimnion.gr,26510-81162,26510-81813,Πέραμα,,455 00,,,
ΑΚΡΟΠΟΛ,"


0.2 Χλμ
",2,www.acropolhotel.com.g,zigourisco@otenet.gr,26840-31239,26840-31834,Πάργα,ΑΓΙΩΝ ΑΠΟΣΤΟΛΩΝ 4,480 60,26840-31515,,
