Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ,Τηλέφωνο 2
ΑΓΑΜΕΜΝΩΝ,"


0.5 Χλμ
",4,www.agamemnon.gr,agamemnon_hotel@yahoo.gr,24230-54557,24230-55867,Αργαλαστή,ΑΡΓΑΛΑΣΤΗ ΜΑΓΝΗΣΙΑΣ,370 06,,,
ΑΓΓΕΛΗΣ,"


0.5 Χλμ
",1,www.agelishotel.gr,info@agelishotel.gr,24230-22246,24230-22778,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,2423-022246,2423-022778,
ΑΓΓΕΛΙΚΗ,"


1 Χλμ
",1,www.angelikihotel.gr,angelikihotel@otenet.gr,24270-21625,24270-21625,Σκιάθος,ΜΕΓΑΛΗ ΑΜΜΟΣ-ΦΤΕΛΙΑ,370 02,2427-022735,2427-021625,24270-22354
ΑΓΓΕΛΙΚΗ,"


0.1 Χλμ
",2,,hotel_aggeliki@yahoo.gr,24240-22290,24240-22442,Σκόπελος,ΓΕΦΥΡΑΚΙ,370 03,21-08040665,21-08040665,210-8040665
ΑΓΙΑ ΚΥΡΙΑΚΗ,"


40 Χλμ
",4,www.agiakyriaki.gr,info@agiakyriaki.gr,6978771831,,Αγία Κυριακή,ΑΓΙΑ ΚΥΡΙΑΚΗ-ΤΡΙΚΕΡΙ ΜΑΓΝΗΣΙΑΣ,370 09,2423091112,,2423091112
ΑΓΛΑΙΑ,"


0.5 Χλμ
",1,,dimitrapapagia@yahoo.gr,24230-22103,24230-22103,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΒΟΛΟΥ,370 10,21-07666451,2423-022103,6977-173464
ΑΓΛΑΪΔΑ,"


3 Χλμ
",3,www.aglaida-apartments.gr,info@aglaida-apartments.gr,24260-49097,24260-49098,Τσαγκαράδα,ΑΓΙΑ ΚΥΡΙΑΚΗ,370 12,,,
ΑΓΝΑΝΤΙ,"


25 Χλμ
",2,www.agnanti-pelion.com,info@agnanti-pelion.com,24230-33390,24230-33622,Άφυσσος,ΑΦΗΣΣΟΣ ΠΗΛΙΟΥ,370 10,21-09588603,21-09523743,24230-33467
ΑΓΝΑΝΤΙ,"


6 Χλμ
",2,www.toagnadi.gr,toagnadi@gmail.com,24940-31015,,Σωτηρίτσα,ΑΝΩ ΣΩΤΗΡΙΤΣΑ ΑΓΙΑΣ ΛΑΡΙΣΑΣ,400 03,241-0231551,,
ΑΓΝΑΝΤΙ,"


12 Χλμ
",3,www.agnanti.gr,info@agnanti.gr,24240-66262,24240-65725,Καλαμάκια,ΚΑΛΑΜΑΚΙΑ ΑΛΟΝΝΗΣΟΥ,370 05,2424-065069,2424-065069,24240-66263
ΑΓΝΑΝΤΙ,"


30 Χλμ
",1,,info@kazarma.gr,2441093190,24410-93150,Νεοχώρι,ΝΕΟΧΩΡΙ ΚΑΡΔΙΤΣΑΣ,430 67,,,
ΑΓΝΑΝΤΙ-ΧΟΡΕΥΤΟ,"


7 Χλμ
",3,www.agnadi-horefto.gr,agnadi@agnadi-horefto.gr,24260-23114,24260-23344,Χορευτό,ΧΟΡΕΥΤΟ,370 01,,,24260-23158
ΑΓΡΑΦΑ,"


0.2 Χλμ
",2,www.loutra-smokovou.gr,info@loutra-smokovou.gr,24430-61282,24430-61178,Ρεντίνα,ΡΕΝΤΙΝΑ,430 68,2443-061210,2443-061178,24430-61210
ΑΓΡΟΚΤΗΜΑ ΚΑΡΑΪΣΚΟΥ,,2,www.karaiskosfarm.gr,info@karaiskosfarm.gr,2428090006,,Πορταριά,,37011,,,
ΑΔΑΜ,"


3 Χλμ
",2,,adamspelion@gmail.com,2428099527,,Μακρινίτσα,,370 11,,,
ΑΔΜΗΤΟΣ,"


0.5 Χλμ
",2,www.admitos.gr,hotel.admitos@gmail.com,24210-21117,24210-26924,Βόλος,ΑΘΑΝΑΣΙΟΥ ΔΙΑΚΟΥ 5,383 33,,,24210-21118
ΑΕΛΙΑ,"


12 Χλμ
",1,,aeliastudios.skiathos@gmail.com,24270-49449,,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,,,
ΑΕΤΩΝ ΜΕΛΑΘΡΟΝ,"


1 Χλμ
",4,www.aetonmelathron.gr,info@aetonmelathron.gr,24310-63130,24310-63135,Τρίκαλα,ΝΕΑΡΧΟΥ ΚΑΙΚΛΕΙΔΩΝΟΠΟΥΛΟΥ,421 00,,,24310-63134
ΑΗ ΓΙΩΡΓΗΣ,"


38 Χλμ
",3,www.stgeorgechrisomilia.gr,info@stgeorgechrisomilia.gr,24323-00400,24315-00045,Χρυσομηλιά,ΧΡΥΣΟΜΗΛΙΑ ΚΑΛΑΜΠΑΚΑΣ,422 00,,,6973735121
ΑΙΓΕΥΣ,"


8 Χλμ
",1,www.aegeushotel.gr,aegeushotel@yahoo.com,24260-22778,24260-22784,Χορευτό,ΧΟΡΕΥΤΟ ΠΗΛΙΟΥ,370 01,,,
ΑΙΓΛΗ,"


1 Χλμ
",3,www.aegli.gr,info@aegli.gr,24210-25691,24210-33006,Βόλος,ΑΡΓΟΝΑΥΤΩΝ 2,383 33,,,24471
ΑΙΘΡΙΟ,"


7 Χλμ
",4,www.atriumhotel.gr,info@atriumhotel.gr,6974300519,24270-49444,Σκιάθος,ΠΛΑΤΑΝΙΑΣ ΣΚΙΑΘΟΥ,370 02,6974-300519,2427-049444,24270-49345
ΑΙΘΡΙΟ ΑΛΟΝΝΗΣΟΥ,"


0.3 Χλμ
",3,www.atriumalonnissos.gr,info@atriumalonnissos.gr,24240-65749,24240-65152,Πατητήρι,ΑΛΟΝΝΗΣΟΣ,370 05,,,24240-65750
ΑΙΝΑΡΕΤΗ,"


15 Χλμ
",2,www.ainareti.gr,info@ainareti.gr,24230-23135,24230-22256,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,,,
