Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
HOTEL ΚΩΣΤΑΣ,"


4 Χλμ
",2,info@costashotel.gr,26950-24705,2695-026747,26950-26747,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,,,
ΑΒΑΛΟΝ,"


1.5 Χλμ
",4,info@avalon-palace.com,2695028531,,2695048531,Ζάκυνθος,ΜΠΟΧΑΛΗ,291 00,www.avalon-palace.com,,
ΑΓ. ΙΩΑΝΝΗΣ ΒΙΛΛΕΣ,"


0.7 Χλμ
",5,sales@stjohnvillas.gr,26950-24178,6980045493,26950-25045,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.stjohnvillas.gr  www.stjohnsuites.gr,,
ΑΓΓΕΛΟΣ,,2,info@hotelaggelos.com,26710-28001,,26710-28001,Αργοστόλι,Ι.ΜΕΤΑΞΑ 11,281 00,http://hotelaggelos.com/,,
ΑΓΙΑ ΒΑΡΒΑΡΑ,"


2.5 Χλμ
",1,johnmik@otenet.gr,26620-61110,,26620-61110,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,,,
ΑΓΙΑ ΜΑΡΙΝΑ,"


0.2 Χλμ
",3,corfusanmarina@gmail.com,2662061594,6937-392881,,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,,6974049984,2662-061147
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,"


6 Χλμ
",1,info@sangeorgiohotel.com,26630-96213,2661-031147,26610-31053,Άγιος Γεώργιος Πάγων,,490 83,https://sangeorgiohotel.com/,,2661-031053
ΑΓΙΟΣ ΝΙΚΗΤΑΣ,,2,info@agiosnikitas.gr,26450-97460,,26450-97462,Άγιος Νικήτας,ΑΓΙΟΣ ΝΙΚΗΤΑΣ ΛΕΥΚΑΔΑΣ,310 80,www.agiosnikitas.gr,26450-97461,
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,"


0.5 Χλμ
",3,,26610-93883,2661-093883,,Πυργί,ΠΥΡΓΙ ΑΓ.ΜΑΡΚΟΥ ΚΕΡΚΥΡΑΣ,490 83,,,2661-093560
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,"


10 Χλμ
",4,snhotel@otenet.gr,26450-95050,2645022540,26450-95058,Μικρός Γιαλός,ΜΙΚΡΟΣ ΓΙΑΛΟΣ ΠΟΡΟΥ ΛΕΥΚΑΔΑΣ,310 84,www.sannicolas.gr,26450-95058,
ΑΓΟΥΛΟΣ ΙΝ,,2,,26950-27283,,,Αργάσι,ΑΝΑΔΑΛΗ,291 00,,,
ΑΓΡΙΛΙΑ,"


6 Χλμ
",2,info@agriliahotel.com,26950-51884,2695-051884,26950-51745,Αμπελόκηποι,ΑΓΡΙΛΙΑ ΖΑΚΥΝΘΟΥ,290 92,www.agriliahotel.com,26950-52288,2695-051745
ΑΔΑΜΑΝΤΙΑ,"


0.5 Χλμ
",3,martha@adamantiahotel.gr,26620-31121,26610-46561,26620-31833,Γάιος Παξών,ΜΠΟΓΔΑΝΑΤΙΚΑ ΓΑΙΟΥ ΠΑΞΩΝ,490 82,www.adamantiahotel.gr,,26610-46561
ΑΔΡΙΑΣ,"


6 Χλμ
",1,info@galaxias-adrias.gr,26610-91223,2661-091589,26610-90264,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.galaxias-adrias.gr,26610-91589,2661-090264
ΑΔΡΙΑΤΙΚΑ,"


4.5 Χλμ
",2,info@adriatica.gr,6974074362,2645-025261,2645071519,Νικιάνα,,311 00,www.adriatica.gr,2645071520,2645-025261
ΑΖΟΥΡ ΜΕΜΟΡΙΣ,,4,st.mylonas@azureresort.com,2695026101,,,Πλάνος,,29100,,,
ΑΖΟΥΡ ΡΕΖΟΡΤ,"


4 Χλμ
",5,info@azureresort.com,2695026101,2695-061285,26950-45464,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,WWW.AZURERESORT.COM,,2695-045464
ΑΗ ΧΕΛΗΣ,,1,adimas_grafeio@yahoo.gr,6982515445,,,Σβορωνάτα,,28100,,,
ΑΘΗΝΑ,"


2 Χλμ
",2,info@athinahotel.gr,26740-22779,6932-275000,26740-23040,Σάμη,ΣΑΜΗ ΚΕΦΑΛΛΗΝΙΑΣ,280 80,www.athinahotel.gr,26740-23067,
ΑΘΗΝΑ,"


5 Χλμ
",2,hotelathina@yahoo.gr,26630-52194,2663-095097,26630-52196,Άγιος Στέφανος,,490 81,www.hotelathina.com,26630-52195,2663-052196
ΑΘΗΝΑ ΑΚΤΗ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,,2,thvradis@gmail.com,2663096346,,,Άγιος Γεώργιος Πάγων,,49083,,,
ΑΘΩΣ,"


16 Χλμ
",2,info@athoshotel.com,26450-92384,,26450-92180,Νεοχώρι,Μ.ΑΥΛΑΚΙ ΝΕΟΧΩΡΙΟΥ ΛΕΥΚΑΣ,311 00,www.athoshotel.com,26450-92184,
ΑΙΓΛΗ,"


6 Χλμ
",2,sophiespinoula@windowslive.com,26610-39812,2661-039812,26610-43000,Πέραμα,ΠΕΡΑΜΑ-ΚΕΡΚΥΡΑΣ,490 84,,26610-43001,2661-030610
ΑΙΓΛΗ,"


0.5 Χλμ
",2,,26950-28317,,,Ζάκυνθος,ΛΟΜΒΑΡΔΟΥ 12,291 00,,,
ΑΙΝΟΣ,,4,info@aenoshotel.com,26710-28013,,26710-27035,Αργοστόλι,ΑΡΓΟΣΤΟΛΙ ΚΕΦΑΛΛΟΝΙΑΣ,281 00,www.aenoshotel.com,,
ΑΙΟΛΟΣ,"


1 Χλμ
",2,info@hotelaeolos.gr,26710-83002,,26710-83003,Σκάλα,,280 82,www.hotelaeolos.gr,,
ΑΙΟΛΟΣ,,3,aeoloszk@otenet.gr,2695023915,,,Ζάκυνθος,,29100,,,
ΑΚΟΥΑ,,5,info@aquabayhotel.gr,26950-25941,,,Τραγάκι,,29100,www.aquabayhotel.gr,2695041100,
ΑΚΟΥΑ ΜΠΕΗ,,5,info@aquabayhotel.gr,2695025941,,2695025941,Τραγάκι,,291 00,www.aquabayhotel.gr,,
ΑΚΟΥΑΡΙΟΥΣ,"


12 Χλμ
",3,hotelaquariuszante@gmail.com,26950-35300,21-09374179,26950-35303,Βασιλικός,ΒΑΣΙΛΙΚΟ ΖΑΚΥΝΘΟΥ,291 00,www.hotelaquarius.gr,26950-35301,21-09374179
ΑΚΡΟΓΙΑΛΙ,,2,,26630-63503,,,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,,,
ΑΚΡΟΓΙΑΛΙ ΡΙΖΟΡΤ,,2,info@akroyiali-studios.gr,2645031451,,,Βασιλική,,31082,www.akroyialiresort.gr,,
ΑΚΡΟΝ,"


4 Χλμ
",1,info@morfeashotel.com,26620-61300,2662-024711,26620-61298,Κάβος,ΚΟΚΚΙΝΙΑ,490 80,,,2662-061298
ΑΚΡΟΣ ΑΣΗΜΕΝΙΑ ΑΚΤΗ,"


4 Χλμ
",3,silverbay@across.gr,2661099880,2310476131,2310476132,Κοντοκάλι,ΚΟΝΤΟΚΑΛΙ ΚΕΡΚΥΡΑΣ,491 00,https://acrosshotels.gr/silverbayhotel/,2310476131,2310476132
ΑΚΡΩΤΗΡΙ,"


3 Χλμ
",2,,26950-48000,,,Ακρωτήρι,ΑΚΡΩΤΗΡΙ ΖΑΚΥΝΘΟΥ,291 00,,,
ΑΚΤΗ,"


8 Χλμ
",3,info@hotel-akti.com,26610-21053,26610-21053,26610-36923,Πέραμα,ΠΕΡΑΜΑ ΓΑΣΤΟΥΡΙΟΥ ΚΕΡΚΥΡΑΣ,490 84,www.hotel-akti.com,26610-30574,26610-36923
ΑΚΤΗ ΑΒΥΘΟΣ,"


10 Χλμ
",4,info@avithosresort.com,26710-42365,2671-024476,26710-42366,Σβορωνάτα,ΣΒΟΡΩΝΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.avithosresort.com,26710-24476,2671-042366
ΑΚΤΗ ΑΙΟΛΟΣ,"


14 Χλμ
",4,info@aeolosbeach.gr,26610-33132,26610-33133,26610-40420,Πέραμα,ΠΕΡΑΜΑ ΚΕΡΚΥΡΑΣ,491 00,www.aeolosbeach.gr,26610-33133,26610-40420
ΑΚΤΗ ΑΚΡΩΤΗΡΙ ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΗΣ,"


1.5 Χλμ
",4,info@akrotiri-beach.com,26630-41237,2661-046500,26630-41277,Παλαιοκαστρίτσα,ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑ ΚΕΡΚΥΡΑΣ,490 83,www.akrotiri-beach.com,22227,2661-020708
ΑΚΤΗ ΑΛΕΚΟΣ,,2,spaliouras@yahoo.com,26620-52408,,,Άγιος Γεώργιος Αργυράδων,ΑΓ.ΓΕΩΡΓΙΟΣ ΑΡΓΥΡΑΔΩΝ ΚΕΡΚΥΡΑΣ,490 80,,,
ΑΚΤΗ ΑΛΕΞΑΝΔΡΑ,"


0.5 Χλμ
",2,village1@otenet.gr,26620-61323,2661-039281,26620-61320,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,,,2661-039281
ΑΚΤΗ ΑΛΚΥΩΝ,"


4 Χλμ
",3,info@alkyonbeach.com,26630-96204,,26630-96045,Άγιος Γεώργιος Πάγων,,490 83,www.alkyonbeach.com,,
ΑΚΤΗ ΑΜΠΟΥΛΑ,"


7 Χλμ
",2,info@amboulabeach.com,26950-62387,21-08046713,,Τραγάκι,ΤΡΑΓΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.amboulabeach.com,,
ΑΚΤΗ ΑΝΑΣΤΑΣΙΑ,"


0.8 Χλμ
",2,info@aktianastasia.gr,26630-63360,,,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,https://aktianastasia.gr/,,
