Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
Α.Δ. ΙΜΠΕΡΙΑΛ ΠΛΑΣ,,4,www.adhotels.gr,imperial@ad-imperial-hotel.gr,2310508300,2310548698,Θεσσαλονίκη,ΕΓΝΑΤΙΑ ΚΑΙ ΤΑΝΤΑΛΙΔΟΥ 8,54626,,,
ΑΒC,"


0.3 Χλμ
",3,www.hotelabc.gr,info@hotelabc.gr,2310265421,2310276542,Θεσσαλονίκη,ΑΓΓΕΛΑΚΗ 41,546 21,,,
ΑΒΑΛΟΝ,"


0.5 Χλμ
",4,www.avalonhotel.gr,info@avalonhotel.gr,2310-462700,2310-463898,Θέρμη,ΑΓΡΟΚΤΗΜΑ 903- Τ.Θ 60191,570 01,2310-465853,,
ΑΓΑΠΗ,,4,,info@agapiluxuryhotel.gr,2384091166,2384091022,Λουτράκι,ΛΟΥΤΡΑΚΙ ΑΡΙΔΑΙΑΣ,584 00,,,
ΑΓΓΕΛΑ,"


22 Χλμ
",2,,ioannisourg@ath.forthnet.gr,6972996156,23970-24464,Ασπροβάλτα,ΠΟΡΤΟ ΦΙΝΟ 87,570 21,2397024464,2397-024464,2397-024464
ΑΓΓΕΛΟΣ,"


3 Χλμ
",2,,angeloskargas@gmail.com,23750-31330,23750-31224,Όρμος Παναγίας,ΟΡΜΟΣ ΠΑΝΑΓΙΑΣ ΣΙΘΩΝΙΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 78,23750-31224,2375-031278,2375-031224
ΑΓΙΑ ΒΑΡΒΑΡΑ,"


0.5 Χλμ
",3,,,23720-51284,,Βαρβάρα,,630 74,23720-51262,,
ΑΓΙΑΝΝΗΣ,"


2 Χλμ
",2,www.agiannis.com,metalnikos@gmail.com,23530-41216,23530-41216,Μεθώνη,ΜΕΘΩΝΗ ΠΙΕΡΙΑΣ,600 66,23530-51840,,
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,"


10 Χλμ
",1,http://hotelsangiorgio.gr,hotelagiosgeorgios@gmail.com,23740-43731,23740-43731,Σκάλα Φούρκας,ΠΑΡΑΛΙΑ ΦΟΥΡΚΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 77,,2310-609023,
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΑΣΠΡΟΒΑΛΤΑΣ,"


0.1 Χλμ
",4,www.stgeorge.gr,asprovalta@stgeorge.gr,23970-22478,23970-23712,Ασπροβάλτα,ΔΑΒΑΚΗ 12,570 21,023999,2397-022478,2397-023712
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ-SΑΝ GΙΟRGΙΟ,"


0.5 Χλμ
",2,www.hotel-sangiorgio.gr,sangorg@otenet.gr,23510-61420,23510-61420,Παραλία,ΜΑΚΕΔΟΝΙΑΣ 1,601 00,,6942-445842,
ΑΓΙΟΣ ΠΑΝΤΕΛΕΗΜΩΝ,"


5 Χλμ
",4,www.sanpanteleimon.gr,sanpanteleimon@gmail.com,23520-41195,23520-41196,Παραλία Παντελεήμονα,ΠΑΡ.ΠΑΝΤΕΛΕΗΜΟΝΑ ΠΙΕΡΙΑΣ,600 65,,2352-041195,2352-041196
ΑΓΚΥΡΑ,"


20 Χλμ
",1,www.hotelagyra.gr,hotelagyra@gmail.com,23520-41276,23520-44484,Νέοι Πόροι,ΣΟΛΩΝΟΣ & ΠΟΣΕΙΔΩΝΟΣ,600 65,,2352-081621,
ΑΓΝΑΝΤΙΟ,"


3 Χλμ
",3,www.agnantiohotel.gr,info@agnantiohotel.gr,23230-28200,23230-28201,Σιδηρόκαστρο,ΣΙΔΗΡΟΚΑΣΤΡΟ ΣΕΡΡΩΝ,623 00,,,
ΑΓΝΕΣΑ ΜΠΙΟΥΤΙ ΧΟΤΕΛ,,3,agnes.gr,agneshoteldeluxe@gmail.com,6946765499,,Πευκοχώρι,,63085,2374062111,,
ΑΓΝΗ,"


4 Χλμ
",1,,roomsagni@yahoo.com,23740-22584,2310-820405,Καλλιθέα,ΚΑΛΛΙΘΕΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,29440-355025,231-0204597,
ΑΓΝΗ,"


0.5 Χλμ
",1,www.siropoulou.gr,agni@siropoulou.gr,23750-94591,23750-94533,Σάρτη,ΣΑΡΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 72,23750-41935,2375-094591,2375-094533
ΑΓΡΟΚΤΗΜΑ ΚΑΨΑΛΗ,"


5 Χλμ
",3,www.hotel-kapsalis.gr,info@hotel-kapsalis.gr,23310-44471,-,Κουμαριά,8 ΧΛΜ.ΒΕΡΟΙΑΣ ΣΕΛΙΟΥ,591 00,,,
ΑΓΡΟΚΤΗΜΑ ΜΑΡΓΑΡΙΤΗ,,2,,bc-a.services@hotmail.com,23950-23026,,Σοχός,,57002,,,
ΑΔ ΙΜΠΕΡΙΑΛ ΠΑΛΛΑΣ,"


0.5 Χλμ
",4,www.ad-imperial-hotel.gr,imperial@ad-imperial-hotel.gr,2310-508300,2310-548698,Θεσσαλονίκη,ΑΝΤΙΓΟΝΙΔΩΝ 13,546 30,2310-540133,,
ΑΔΡΙΑΝΗ,"


8 Χλμ
",2,www.hotel-adriani.gr,gkipou@otenet.gr,23510-61729,23510-61783,Παραλία,ΤΡΙΚΑΛΩΝ 9,601 00,23510-61783,,
ΑΔΩΝΙΣ,"


1 Χλμ
",2,www.hoteladonis.gr,info@hoteladonis.gr,23810-82500,23810-89364,Σκύδρα,ΑΡΓΥΡΟΥΠΟΛΕΩΣ 1,585 00,23810-82501,,
ΑΔΩΝΙΣ,"


0.1 Χλμ
",1,,hoteladonis01@hotmail.com,23740-51067,,Κρυοπηγή,ΚΡΥΟΠΗΓΗ ΧΑΛΚΙΔΙΚΗΣ,630 77,,,
ΑΔΩΝΙΣ,"


1 Χλμ
",2,,hotel.adonis.n.poroi@gmail.com,23520-42928,23520-42028,Νέοι Πόροι,Ν.ΠΟΡΟΙ ΠΙΕΡΙΑΣ,600 65,,,
ΑΔΩΝΙΣ,"


4 Χλμ
",1,www.adonis-hotel.gr,info@adonis-hotel.gr,23740-25100,23740-22045,Καλλιθέα,,630 77,6977426096,2374-023016,2374-022045
ΑΔΩΝΙΣ,"


0.1 Χλμ
",1,www.adonishotel.eu,adonishotel@hotmail.gr,23740-61638,23740-62038,Πευκοχώρι,,630 85,,2374-061301,
ΑΕΟΛΛΟΣ,"


0.2 Χλμ
",3,,aeollos@otenet.gr,23740-20500,23740-20490,Πευκοχώρι,,630 85,,,
ΑΕΤΟΠΕΤΡΑ,"


20 Χλμ
",3,www.hotelaetopetra.gr,info@hotelaetopetra.gr,2321058689,23210-23738,Ορεινή,ΟΡΕΙΝΗ ΣΕΡΡΩΝ,621 00,2321066403,6945772052,2321023738
ΑΕΤΩΝ ΕΠΑΥΛΕΙΣ,,5,WWW.eaglesvillas.gr,acct@eaglespalace.gr,2310228522,2377031383,Ουρανόπολη,,63075,2377440050,,
ΑΕΤΩΝ ΜΕΛΑΘΡΟΝ,"


4 Χλμ
",5,www.eaglespalace.gr,info@eaglespalace.gr,23770-31047/8,23770-31383,Ουρανόπολη,ΟΥΡΑΝΟΥΠΟΛΗ ΧΑΛΚΙΔΙΚΗΣ,630 75,2310-269421,231-0269421,231-0274358
ΑΖΑΛΕΑ,"


40 Χλμ
",1,www.azaleahotel.gr,azaleahotel@yahoo.gr,23750-94587,23750-94587,Σάρτη,Τ.Θ.125,630 72,2331073694,2331-073694,2331-073694
ΑΖΑΠΙΚΟ,"


12 Χλμ
",2,www.toronibluesea.com,info@toronibluesea.com,23750-51052,2310-242558,Νέος Μαρμαράς,ΑΖΑΠΙΚΟ Ν.ΜΑΡΜΑΡΑ ΧΑΛΚΙΔΙΚΗΣ,630 81,6977-486463,231-0281060,231-0239216
ΑΖΟΥΡ,,2,www.hotelazur.gr,info@hotelazur.gr,23740-51550,,Πολύχρονο,ΠΟΛΥΧΡΟΝΟ ΧΑΛΚΙΔΙΚΗΣ,630 85,,,
ΑΘΗΝΑ,,1,,hotelathina@hotmail.com,23750-72372,,Νέος Μαρμαράς,,630 81,,,
ΑΘΗΝΑ,,2,,costasle@otenet.gr,23520-42727,,Παραλία Παντελεήμονα,ΠΑΡ.Ν.ΠΑΝΤΕΛΕΗΜΩΝΑ ΠΙΕΡΙΑΣ,600 65,23520-42727,2352061422,
ΑΘΗΝΑ,"


1 Χλμ
",2,www.hotelathina.gr,,23970-22914,23970-24577,Ασπροβάλτα,81 ΧΛΜ ΕΟ ΘΕΣ/ΝΙΚΗΣ-ΚΑΒΑΛ,570 21,23970-25312,,
ΑΘΗΝΑ,"


10 Χλμ
",3,www.hotelathina.eu,info@hotelathina.eu,23840-91566,23840-91515,Λουτράκι,ΛΟΥΤΡΑΚΙ ΠΕΛΛΑΣ,584 00,23840-91567,,
ΑΘΗΝΑ,"


1.5 Χλμ
",3,www.athinapalace.gr,info@airhotelathina.gr,2310-805680,2310-805686,Θεσσαλονίκη,13 ΧΛΜ ΟΔ.ΘΕΣΣΑΛ.-ΠΕΡΑΙΑΣ,570 01,,,
ΑΘΗΝΑ ΠΑΛΛΑΣ ΒΙΛΑΤΖ,"


12 Χλμ
",5,www.acrotel.gr,info@acrotel.gr,2375023000,2375023001,Νικήτη,ΕΛΙΑ ΝΙΚΗΤΗΣ,630 88,2375081410,2375-081410,2375-081418
ΑΘΛΗΤΙΚΟ ΧΩΡΙΟ,"


3 Χλμ
",2,www.atermongroup.gr,athletic@atermongroup.gr,23410-64789,23410-64789,Παντελεήμονας,,611 00,23410-64792,,
ΑΘΛΟΣ,,4,,pandelistarnatoros@gmail.com,6943163333,,Καλαμαριά,,55132,,,
ΑΘΩΝΙΚΟΝ,,3,,klogist@otenet.gr,23970-65794,,Άνω Σταυρός,,570 14,,,
ΑΘΩΡΑΜΑ,"


10 Χλμ
",3,www.athorama.gr,athoramahotel@gmail.com,23770-31195,23770-71003,Νέα Ρόδα,ΝΕΑ ΡΟΔΑ ΧΑΛΚΙΔΙΚΗΣ,630 75,,,
ΑΘΩΣ,"


0.5 Χλμ
",2,athoshotel.net,athos_hotel@yahoo.gr,23970-61566,23970-61566,Σταυρός,ΠΑΛΑΙΟΛΟΓΟΥ 10,570 14,23970-61353,2310-239849,2310-239849
ΑΘΩΣ,"


50 Χλμ
",1,,,23770-71368,,Ουρανόπολη,ΟΥΡΑΝΟΥΠΟΛΗ ΧΑΛΚΙΔΙΚΗΣ,630 75,,6947-300721,
