Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΒΑΤΟΝ,,5,https://www.hersotels.gr/el/hotels/abaton-island-resort-spa,info@hersotels.gr,2810221805,2810287533,Λιμένας Χερσονήσου,70014,,,,
ΑΒΔΟΥ ΚΟΛΛΕΞΙΟΝ ΣΟΥΙΤΣ,,4,http://avdoucollection.gr,info@avdoucollection.com,2897051510,,Αβδού,70005,,,,
ΑΒΕΡΙΝΟΣ,,2,,,28970-22994,,Λιμένας Χερσονήσου,700 14,ΚΟΡΝΑΡΟΥ 12,,,
ΑΓΑΠΗ,"


11 Χλμ
",1,www.hotelagapi.gr,info@hotelagapi.gr,+302821068105,28210-60464,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,28210-68211,+302821068105,+302821923169
ΑΓΑΠΗΜΕΝΕΣ ΔΙΑΚΟΠΕΣ,"


0.2 Χλμ
",1,www.lovelyholidayshotel.com,lovelyholidayshotel@gmail.com,28970-22898,28970-22898,Λιμένας Χερσονήσου,700 14,ΕΜΜ.ΠΑΡΛΑΜΑ 9,,6972-280692,
ΑΓΑΣ,"


0.13 Χλμ
",2,www.hotelaghas.gr,hoelaghas@gmail.com,6973068683,28230-41503,Παλαιοχώρα,730 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,28230-41525,,
ΑΓΓΕΛΙΑ ΠΑΡΑΛΙΑΚΟ ΞΕΝΟΔΟΧΕΙΟ,"


13 Χλμ
",5,www.ageliabeachhotel.gr,reservations@ageliabeachhotel.gr,28310-72032,28310-72385,Σφακάκι,741 00,ΣΦΑΚΑΚΙ,,28310-57180,28310-57180
ΑΓΓΕΛΙΚΑ ΔΙΑΜΕΡΙΣΜΑΤΑ,"


10 Χλμ
",3,www.angelikahotel.com,info@angelikahotel.com,28410-90904,28410-81373,Μίλατος,724 00,ΜΙΛΑΤΟΣ,,,
ΑΓΓΕΛΟΣ,"


0.5 Χλμ
",1,,hotelangelos.crete@yahoo.com,28410-23501,28410-25692,Άγιος Νικόλαος,721 00,ΣΤΥΛ.ΚΟΥΝΔΟΥΡΟΥ 16,,2842-091338,
ΑΓΙΑ ΕΙΡΗΝΗ,"


0.05 Χλμ
",2,www.santa-irene.gr,info@santa-irene.gr,28230-51342,28230-51182,Σούγια,730 09,ΣΟΥΓΙΑ ΣΕΛΙΝΟΥ ΧΑΝΙΩΝ,28210-57733,2821045911,2821045912
ΑΓΙΑ ΕΛΕΝΗ,"


1 Χλμ
",2,,,2810-251770,,Ηράκλειο,713 03,ΕΒΡΟΥ 18,2810-251771,281-0251770,281-0251771
ΑΓΙΑ ΡΟΥΜΕΛΗ,"


0.2 Χλμ
",2,,info@agiaroumelihotel.com,28250-91241,28250-91232,Αγία Ρουμέλη,730 11,ΑΓΙΑ ΡΟΥΜΕΛΗ ΧΑΝΙΩΝ,,2821-091367,2821-091367
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,"


24 Χλμ
",1,www.sangeorgio.gr,nikossoma@gmail.com,28910-92322,28910-92323,Τσούτσουρος,700 10,ΤΣΟΥΤΣΟΥΡΟΣ ΗΡΑΚΛΕΙΟΥ,,2728-089364,2831-082403
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ IV,,4,,kipag51@gmail.com,2810241192,,Χερσόνησος,70014,,,,
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ Ι,"


15 Χλμ
",5,www.stkinstantin.gr,georgepagonakis@hotmail.com,28970-42753,28970-42726,Κάτω Γούβες,700 14,Κ.ΓΟΥΒΕΣ ΠΕΔ.ΗΡΑΚΛΕΙΟΥ,,2810-241192,2810-286375
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΙΙ,"


15 Χλμ
",4,www.stconstantin.gr,georgepagonakis@hotmail.com,28970-42753,28970-42726,Κάτω Γούβες,700 14,Κ.ΓΟΥΒΕΣ ΠΕΔ.ΗΡΑΚΛΕΙΟΥ,,2810-241192,
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΙΙΙ,,4,www.stconstantin.gr,georgepagonakis@hotmail.com,28970-42752,,Κάτω Γούβες,700 14,ΚΑΤΩ ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,,,
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,"


1 Χλμ
",2,,jmarkastalia@gmail.com,28240-22268,28240-22738,Καμισιανά,730 06,,,2821-040686,2821-045784
ΑΓΙΟΣ ΠΑΥΛΟΣ,"


20 Χλμ
",1,www.agiospavloshotel.gr,kavosmelissa@yahoo.gr,28320-71104,28320-71105,Άγιος Παύλος,740 53,ΑΓ.ΠΑΥΛΟΣ ΣΑΚΤΟΥΡΙΩΝ ΡΕΘΥΜΝΗΣ ΚΡΗΤΗ,,2831-022845,
ΑΓΛΑΙΑ,"


1.5 Χλμ
",1,,,28970-33657,28970-32414,Μάλια,700 07,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 20,,,
ΑΓΡΑΜΠΕΛΛΑ,"


0.1 Χλμ
",3,www.agrabella.gr,info@agrabella.gr,28970-23110/1,28970-23510,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘΕΡΙΑΣ 26,24511,,
ΑΓΡΙΕΛΙΑ,"


15 Χλμ
",3,www.agrieliavilla.gr,info@agrieliavilla.gr,28970-41670,28150-09796,Σγουροκεφάλι,700 08,ΣΓΟΥΡΟΚΕΦΑΛΙ ΕΠΙΣΚΟΠΗΣ,6946795301,,
ΑΓΡΙΟΒΙΟΛΕΤΑ,,3,,adourala@otenet.gr,6937003549,,Μελιδόνι,74052,,,,
ΑΓΡΟΚΤΗΜΑΤΑ ΣΦΗΝΙΑ,,3,,hotel-sfinias@hotmail.com,2892097449,,Χρυσόστομος,70400,,,,
ΑΔΑΜΑΚΗΣ,,2,,adamakishotel@gmail.com,28970-22447,28970-22447,Λιμένας Χερσονήσου,700 14,ΑΝΤ.ΠΕΤΕΙΝΑΚΗ 13,,,
ΑΔΕΛΑΙΣ,"


0.5 Χλμ
",2,www.adelais.gr,info@adelais.gr,28240-22929,,Ταυρωνίτης,730 06,ΤΑΥΡΩΝΙΤΗΣ ΚΙΣΣΑΜΟΥ ΧΑΝΙΩΝ,28240-22959,,
ΑΔΕΛΑΪΣ ΧΩΡΙΟ,"


0.5 Χλμ
",1,www.adelais.gr,info@adelais.gr,28240-22929,28240-83440,Ταυρωνίτης,730 06,ΤΑΥΡΩΝΙΤΗΣ ΒΟΥΚΟΛΙΩΝ ΧΑΝΙΩΝ,28240-22959,6947-440862,
ΑΔΕΛΕ ΜΠΗΤΣ,"


6 Χλμ
",4,www.adelebeach.gr,info@adelebeach.gr,28310-71081,28310-71737,Άδελε,741 00,ΑΔΕΛΕ ΡΕΘΥΜΝΟΥ,28310 71069,2831-071081,2831-071737
ΑΔΩΝΙΣ,"


0.4 Χλμ
",2,www.hotel-adonis.com,hoteladonis@hotmail.com,28320-91333,28320-91334,Αγία Γαλήνη,740 56,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ,28320-91250,,
ΑΔΩΝΙΣ,"


0.7 Χλμ
",2,,antonoyiannakis@hrs.forthnet.gr,28970-22141,2810-282534,Λιμένας Χερσονήσου,700 14,ΓΙΑΜΠΟΥΔΑΚΗ 2,2810-232438,281-0232438,281-0232438
ΑΔΩΝΙΣ 2,"


0.4 Χλμ
",2,www.hotel-adonis.com,hoteladonis@hotmail.com,28320-91333,28320-91334,Αγία Γαλήνη,740 56,ΡΑΦΗΝΑ,28320-91181,2832-091250,2832-091334
ΑΔΩΝΙΣ ΟΑΣΙΣ,"


0.4 Χλμ
",2,www.hotel-adonis.com,hoteladonis@hotmail.com,29320-91333,28320-91334,Αγία Γαλήνη,740 56,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ ΚΡΗΤΗΣ,,,
ΑΘΕΡΜΙΓΟ,,4,www.athermigo.com,athermigo@ariahotels.gr,28210-90644,,Γαβαλοχώρι,730 08,ΑΓ.ΠΑΥΛΟΣ ΓΑΒΑΛΟΧΩΡΙΟΥ ΧΑΝΙΩΝ,,,
ΑΘΗΝΑ,"


5 Χλμ
",1,www.hotel-athena.gr,info@hotel-athena.gr,28250-61527,28250-61720,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗΣ ΧΑΝΙΩΝ,,,
