Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Διεύθυνση,Εναλλακτικό Φαξ
18 ΣΤΑΦΥΛΙΑ,,5,info@18grapes.com,2285044194,2285042730,Άγιος Προκόπιος,84300,,,,,
Α – ΑΛΦΑ ΧΟΤΕΛ ΜΥΚΟΝΟΣ,,4,sofia@ahotelmykonos.com,6947720841,2289027232,Μύκονος,84600,www.ahotelmykonos.com,6947720840,6947720840,,
Α.Ν.Ν.Ι.,,2,,22470-25511,22470-25511,Γούρνα,854 00,,,,,
ΑΒΑΛΟΝ,"


2 Χλμ
",4,info@avalonrhodes.gr,22410-31438,22410-31439,Ρόδος,851 00,www.avalonrhodes.gr,,,ΧΑΡΗΤΟΣ 9,
ΑΒΑΝΤΙ,"


2 Χλμ
",2,avantiht@otenet.gr,22860-91165,22860-91063,Ίος,840 01,www.avanti-hotelios.com,,2286-091910,,2286-091063
ΑΒΑΤΟΝ ΡΙΖΟΡΤ 1,,5,avaton@myconiancollection.gr,22890-76120,2289079590,Άνω Μερά,846 00,www.myconianavaton.gr,,,,
ΑΓΓΕΛΑ,"


1 Χλμ
",3,agelaapts@yahoo.gr,22420-21246,22420-23502,Κως,853 00,www.kos-hotels.net/member.php?id=20,22420-21247,2242-025146,ΧΑΡΜΥΛΟΥ 4,2242-023502
ΑΓΓΕΛΑ,,2,nickytingaki36@gmail.com,22420-68357,22420-68521,Τιγκάκι,853 00,www.angela-kos.com,,,,
ΑΓΓΕΛΙΚΑ,"


6 Χλμ
",2,info@angelika-studios.gr,22470-24610,22470-24610,Αγία Μαρίνα,854 00,www.leros-angelika.com,2104327815,21-04970479,ΑΛΙΝΤΑ ΛΕΡΟΥ,21-04970479
ΑΓΓΕΛΙΚΑ,"


5 Χλμ
",2,agelica-babisbar@freemail.gr,22430-47864,22430-47986,Κάλυμνος,852 00,,22430-47986,22430-23954,,
ΑΓΓΕΛΙΚΑ,"


0.2 Χλμ
",2,info@angelicas.gr,22450-41268,22450-41268,Φρύ,858 00,www.angelicas.gr,6992-673833,21-03615939,,21-03615939
ΑΓΓΕΛΙΚΗ,"


0.1 Χλμ
",2,chris7aliki@yahoo.gr,22840-91339,22840-91318,Αλυκή,844 00,www.hotelangeliki.gr,6945105367,,ΑΛΥΚΗ ΠΑΡΟΥ,
ΑΓΓΕΛΙΚΗ,,2,,22420-91358,,Καρδάμαινα,853 02,,,2242-091358,ΚΑΡΔΑΜΑΙΝΑ ΚΩΣ,
ΑΓΓΕΛΙΚΗΣ ΘΑΛΑΣΣΑ,"


12 Χλμ
",4,manager_holiday_village_kos@atlanticahotels.com,22420-41622,22420-41663,Μαρμάρι,853 00,www.atlanticahotels.gr,,,ΜΑΡΜΑΡΙ-ΚΩΣ,
ΑΓΓΕΛΟΣ ΠΑΡΑΛΙΑ,,3,information@angelosbeachhotel.gr,2241087742,2241087732,Φαληράκι,85100,,,,ΑΦΡΟΔΙΤΗΣ 1,
ΑΓΕΡΙ,"


1 Χλμ
",3,info@ageri.gr,22830-25940,22830-24232,Τήνος,842 00,www.ageri.gr,22830-24231,,ΝΙΚ.ΛΟΥΒΑΡΗ 6,
ΑΓΙΑ ΑΝΝΑ,"


5 Χλμ
",2,info@agiaanna-hotel-naxos.com,22850 42576,22850 42704,Αγία Αννα,843 00,www.agiaanna-hotel-naxos.com,,,ΑΓ.ΑΝΝΑ ΝΑΞΟΥ,
ΑΓΙΑ ΕΙΡΗΝΗ,"


0.5 Χλμ
",1,hotelsantairini@gmail.com,2286082583,,Πέρισσα,847 00,,2286082582,,ΠΕΡΙΣΣΑ ΣΑΝΤΟΡΙΝΗΣ,21-09918587
ΑΓΙΑ ΕΛΕΝΗ,"


3 Χλμ
",3,santahelenahotel@yahoo.gr,6940949333,2241092351,Ιαλυσός,851 01,www.santa-helena.gr,,2241092351,ΦΙΛΕΡΗΜΟΥ 52,2241092351
