Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΒΑΤΟΝ,"


0.4 Χλμ
",1,www.avaton.com.gr,info@avaton.com.gr,27530-22059,27530-22178,27530-23059,Ασκληπιείο Επιδαύρου,ΛΥΓΟΥΡΙΟ ΑΡΓΟΛΙΔΟΣ,210 52,,
ΑΓΑΜΕΜΝΩΝ,"


0.5 Χλμ
",3,www.nafplioagamemnon.gr,nafplioagamemnon@gmail.com,27520-28021,27520-25562,27520-28022,Ναύπλιο,ΑΚΤΗ ΜΙΑΟΥΛΗ 3,211 00,,
ΑΓΓΕΛΙΚΑ ΒΙΛΛΑΣ,"


2 Χλμ
",2,www.anvep.com,anvep@anvep.com,27530-41038,,27530-41942,Νέα Επίδαυρος,ΓΙΑΛΑΣΙ,210 59,,
ΑΓΓΕΛΟΣ,"


2 Χλμ
",2,www.aggeloshotel.com,info@aggeloshotel.com,27250-31268,,27250-31368,Λογγά,ΑΓΙΟΣ ΑΝΔΡΕΑΣ ΛΟΓΓΑ ΜΕΣΗΝ,240 10,2725-031268,2725-031368
ΑΓΙΟΣ ΣΩΣΤΗΣ,"


0.5 Χλμ
",2,www.agios-sostis.gr,info@agios-sostis.gr,27610-25490,27610-24800,27610-25491,Κυπαρισσία,25ΗΣ ΜΑΡΤΙΟΥ 103,245 00,,
ΑΔΙΑΝΤΗ,"


0.8 Χλμ
",4,www.hotel-adiandi.com,info@hotel-adiandi.com,27520-22073,27520-99477,27520-99478,Ναύπλιο,ΟΘΩΝΟΣ 31ΚΑΙΒΑΣ.ΣΟΦΙΑΣ,211 00,,
ΑΕΣΚΩ,"


2 Χλμ
",2,www.aesko.gr,info@aesko.gr,27950-29040,27950-29042,27950-29043,Βυτίνα,ΑΓ.ΓΕΩΡΓΙΟΣ ΒΥΤΙΝΑΣ,220 10,,
ΑΕΤΩΜΑ,"


0.5 Χλμ
",4,www.aetoma.gr,info@nafplionhotel.gr,27520-27373,,27520-27009,Ναύπλιο,ΝΑΥΠΛΙΟ,211 00,,
ΑΘΗΝΑ,"


0.5 Χλμ
",2,www.hotelathenanafplio.gr,info@hotelathenanafplio.gr,27520-47200,,27520-28188,Ναύπλιο,ΠΛΑΤΕΙΑ ΣΥΝΤΑΓΜΑΤΟΣ,211 00,,
ΑΘΗΝΑ,"


2 Χλμ
",3,www.hotelathena.gr,info@hotelathena.gr,27530-23081,6976-996179,27530-22226,Λυγουριό,ΛΥΓΟΥΡΙΟ,210 52,2753-023095,
ΑΙΒΑΛΙ,"


0.5 Χλμ
",2,,aivali.neapoli@gmail.com,27340-22287,27340-22561,27340-22777,Νεάπολη Βοιών,ΛΕΩΦ.ΣΠΑΡΤΗΣ 17,230 53,,
ΑΙΓΑΙΟΝ,"


0.05 Χλμ
",2,,,27530-41381,,,Αρχαία Επίδαυρος,ΠΑΛΑΙΑ ΕΠΙΔΑΥΡΟΣ,210 59,,
ΑΙΓΛΗ,"


0.2 Χλμ
",2,www.hotelaegli.gr,filiaegli@yahoo.gr,27950-22216,27950-22316,210-8055997,Βυτίνα,ΒΥΤΙΝΑ ΑΡΚΑΔΙΑΣ,220 10,,
ΑΙΓΛΗ,"


5 Χλμ
",3,www.hotel-egli.gr,info@hotel-egli.gr,27440-22344,,27440-22344,Λουτράκι,ΓΕΩΡΓΙΟΥ ΛΕΚΚΑ 15,203 00,,
ΑΙΟΛΟΣ,"


2 Χλμ
",2,http://aeolos-laconia.gr/aeolos-mavrovouni,aeolosmavrovouni@gmail.com,2733400278,2733400279,27330-24785,Γύθειο,ΜΑΥΡΟΒΟΥΝΙ ΓΥΘΕΙΟ ΛΑΚΩΝ.,232 00,,
ΑΙΟΛΟΣ,"


2 Χλμ
",3,www.aiolosrooms.gr,info@aiolosrooms.gr,27210-64830,,27210-64835,Στούπα,,240 24,2721-064830,
ΑΙΠΕΙΑ,"


2 Χλμ
",2,www.aggeloshotel.com,info@aggeloshotel.com,27250-31268,,27250-31368,Λογγά,ΑΓΙΟΣ ΑΝΔΡΕΑΣ ΛΟΓΓΑ ΜΕΣΗΝ,240 10,2725-031368,2725-031268
ΑΙΩΝ,"


0.8 Χλμ
",4,www.aion-hotel.gr,info@aion-hotel.gr,27520-99377,27520-99378,27520-99353,Ναύπλιο,ΟΘΩΝΟΣ 21-23 ΚΑΙ ΒΑΣ.ΟΛΓΑΣ 18,211 00,,
