Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΒΑΝΤΗΣ,"


0.6 Χλμ
",4,www.avantis-hotel.gr,info@avantis-hotel.gr,22290-64004,22290-64005,Ερέτρια,ΟΝΕΙΡΩΝ 2,340 08,,,
ΑΒΑΡΙΣ,"


2 Χλμ
",5,www.avarishotel.gr,info@avarishotel.gr,22370-89100,22370-89107,Καρπενήσι,ΣΩΤΗΡΑ ΚΑΡΠΕΝΗΣΙΟΥ,361 00,,,
ΑΓΑΘΙΔΗΣ,,2,,,22370-80813,,Προυσός,ΠΡΟΥΣΣΟΣ ΕΥΡΥΤΑΝΙΑΣ,360 74,,,
ΑΓΑΠΗ,"


0.04 Χλμ
",2,www.hotelthalassa.gr,info@thalasahotel.gr,22260-23883,22260-23572,Λουτρά Αιδηψού,ΦΙΛΕΛΛΗΝΩΝ 7Α,343 00,22260-23884,6944-573961,
ΑΓΓΕΛΗΣ,"


10 Χλμ
",2,,,22310-59351,,Λουτρά Υπάτης,ΛΟΥΤΡΑ ΥΠΑΤΗΣ,350 16,,2231-022921,
ΑΓΓΕΛΟΣ,,2,,,22670-31144,,Ζεμενό Αράχοβας,,320 04,,,
ΑΓΙΑ ΜΑΡΙΝΑ ΑΡΑΧΩΒΑΣ,"


9 Χλμ
",4,www.santamarinahotel.com,leonidas.anagnostou@santa-marina.gr,22670-31230,22670-32175,Αράχοβα,ΑΡΑΧΩΒΑ,320 04,22670-31234,210-4226571,210-9483375
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,,3,www.sgh.gr,info@sgh.gr,22240-41810,22230-23244,Νέα Στύρα,ΤΖΟΛΗ ΝΕΩΝ ΣΤΥΡΩΝ,340 15,,,
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,"


20 Χλμ
",2,www.agiosnikolaoshotel,par.theodoridou@gmail.com,22260-22494,22260-22494,Άγιος Νικόλαος,ΑΓ.ΝΙΚΟΛΑΟΣ ΑΙΔΗΨΟΥ,343 00,,2226-022494,
ΑΓΚΑΛΗ,"


10 Χλμ
",3,www.hotelagali.gr,tsirst@otenet.gr,22270-97103,22270-97067,Αγία Άννα,,340 10,,21-06852453,21-03637078
ΑΓΝΑΝΤΙ,"


1.5 Χλμ
",2,www.agnadihotel.com,roviessunset@yahoo.gr,22270-71220,22270-71357,Ροβιές,,340 05,22270-71354,2227-071355,2227-071357
ΑΓΡΙΑ ΟΜΟΡΦΙΑ,"


35 Χλμ
",2,www.ksenonasfournas.gr,ksenonasfournas@gmail.com,22370-51600,22370-51600,Φουρνά,ΦΟΥΡΝΑ ΕΥΡΥΤΑΝΙΑΣ,360 80,6988616561,,
ΑΔΩΝΙΣ,"


0.1 Χλμ
",2,,adonisho@otenet.gr,22260-22257,22260-23259,Λουτρά Αιδηψού,ΦΙΛΕΛΛΗΝΩΝ  &  ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,343 00,22260-22161,,
ΑΘΗΝΑ,,1,www.athina-hotel-gr.com,athina_h@otenet.gr,22650-82239,22650-82592,Δελφοί,ΦΡΕΙΔΕΡΙΚΗΣ 55,330 54,,2265-082239,
ΑΘΗΝΑ,"


1 Χλμ
",3,,hotelathinalamia@gmail.com,22310-27700,22310-37722,Λαμία,ΡΟΖΑΚΗ ΑΓΓΕΛΗ 41,351 00,22310-20700,,
ΑΘΗΝΑ,,3,http://hotel-athina.gr/,athina-kukura@yahoo.com,22610-94500,,Αγία Άννα,ΑΓ.ΑΝΝΑ ΒΟΙΩΤΙΑΣ,321 00,2261000342,,
ΑΙ ΠΗΓΑΙ,,3,,nanou.angie@gmail.com,22260-22441,,Λουτρά Αιδηψού,,343 00,,,
ΑΙΓΑΙΑ,"


0.5 Χλμ
",3,,,22240-27350,,Κάρυστος,ΚΑΡΥΣΤΟΣ ΠΗΓΑΔΑΚΙΑ ΕΥΒΟΙΑΣ,340 01,,22240-24030,22240-26068
ΑΙΓΙΛΙΟΝ,"


0.5 Χλμ
",2,www.hotelegilion.gr,g.prevainas@gmail.com,22240-41204,22240-41484,Νέα Στύρα,,340 15,22240-41374,2224-051210,2224-041484
ΑΙΓΛΗ,"


22 Χλμ
",3,,,22260-22215,,Λουτρά Αιδηψού,ΔΗΜΟΣΙΑ ΠΑΡΑΛΙΑΚΗ ΟΔΟΣ,343 00,210-8670511,21-08670511,
ΑΙΓΛΗ,"


0.05 Χλμ
",1,,,22350-22344,,Καμένα Βούρλα,,350 08,,,
ΑΙΓΛΗ,"


17 Χλμ
",2,,info@aigli-loutra.gr,22310-59553,,Λουτρά Υπάτης,ΛΟΥΤΡΑ ΥΠΑΤΗΣ,350 16,22310-24294,,
ΑΙΓΛΗ,"


1 Χλμ
",4,www.aegli-arachova.gr,info@koutras.gr,22670-31767,22670-31841,Αράχοβα,ΑΡΑΧΩΒΑ ΒΟΙΩΤΙΑΣ,320 04,,6937-180888,
ΑΙΔΗΨΟΣ,,2,,hotelaidipsos@gmail.com,22260-22838,22260-24135,Λουτρά Αιδηψού,ΠΑΠΑΔΙΑΜΑΝΤΗ,343 00,22260-22035,,
ΑΙΟΛΟΣ,"


15 Χλμ
",2,,aioloshoteldelphi@yahoo.gr,22650-82631,22650-82253,Δελφοί,ΦΡΕΙΔΕΡΙΚΗΣ 23,330 54,22650-82213,2265-082213,2265-082253
ΑΙΟΛΟΣ,"


25 Χλμ
",2,,mavrozoumis.civil@gmail.com,22260-24389,,Λουτρά Αιδηψού,ΛΟΥΤΡΑ ΑΙΔΗΨΟΥ,343 00,,21-08320366,
